date,ext_mean,ext_max,ext_min,air1_mean,air1_max,air1_min,air2_mean,air2_max,air2_min,water_mean,water_max,water_min,rock_mean,rock_max,rock_min
2025-03-30,11.98,12.8,11.4,8.49,8.5,8.49,8.42,8.45,8.41,8.53,8.53,8.53,8.88,8.88,8.87
2025-03-31,12.3,16.4,8.0,8.49,8.51,8.48,8.41,8.45,8.41,8.53,8.53,8.49,8.87,8.88,8.87
2025-04-01,11.6,13.6,8.5,8.49,8.51,8.47,8.41,8.45,8.41,8.51,8.53,8.49,8.87,8.88,8.87
2025-04-02,14.27,18.5,11.3,8.52,8.55,8.5,8.45,8.49,8.41,8.55,8.58,8.53,8.88,8.89,8.87
2025-04-03,13.65,18.9,9.6,8.55,8.57,8.53,8.48,8.49,8.45,8.58,8.58,8.58,8.89,8.89,8.88
2025-04-04,14.85,20.8,9.0,8.53,8.56,8.51,8.45,8.49,8.41,8.56,8.58,8.53,8.89,8.9,8.89
2025-04-05,13.72,18.2,8.0,8.53,8.55,8.51,8.45,8.49,8.41,8.55,8.58,8.53,8.9,8.91,8.89
2025-04-06,9.79,14.1,4.1,8.56,8.58,8.55,8.5,8.53,8.45,8.57,8.58,8.53,8.91,8.92,8.9
2025-04-07,6.45,11.1,2.9,8.51,8.58,8.47,8.41,8.49,8.36,8.51,8.58,8.45,8.92,8.92,8.91
2025-04-08,8.64,13.9,3.2,8.47,8.49,8.44,8.36,8.41,8.32,8.46,8.49,8.41,8.91,8.92,8.9
2025-04-09,9.39,14.1,3.4,8.45,8.48,8.41,8.34,8.41,8.28,8.45,8.49,8.41,8.9,8.91,8.89
2025-04-10,11.06,16.4,4.8,8.45,8.48,8.41,8.35,8.41,8.28,8.45,8.49,8.41,8.89,8.9,8.89
2025-04-11,12.67,17.4,6.1,8.45,8.48,8.43,8.36,8.41,8.28,8.45,8.49,8.41,8.89,8.89,8.89
2025-04-12,14.66,21.5,8.8,8.49,8.51,8.46,8.4,8.45,8.36,8.49,8.49,8.45,8.89,8.9,8.89
2025-04-13,12.49,15.2,10.3,8.53,8.55,8.5,8.45,8.49,8.41,8.53,8.58,8.49,8.9,8.91,8.89
2025-04-14,12.11,13.6,10.3,8.56,8.58,8.55,8.48,8.49,8.45,8.57,8.58,8.53,8.92,8.92,8.91
2025-04-15,14.3,16.3,12.4,8.59,8.65,8.57,8.52,8.58,8.49,8.59,8.62,8.58,8.92,8.93,8.92
2025-04-16,17.09,21.1,13.9,8.62,8.63,8.6,8.54,8.58,8.53,8.64,8.66,8.62,8.94,8.95,8.93
2025-04-17,16.47,19.3,12.4,8.64,8.66,8.61,8.57,8.58,8.53,8.66,8.66,8.62,8.95,8.96,8.94
2025-04-18,13.0,16.1,10.9,8.66,8.68,8.65,8.6,8.62,8.58,8.66,8.71,8.66,8.96,8.97,8.95
2025-04-19,13.03,16.8,9.6,8.69,8.7,8.66,8.62,8.66,8.58,8.7,8.71,8.66,8.97,8.98,8.97
